Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_003053245.1	ASM305324v1	Lactobacillus acidophilus		DS10_1A					GCF_003053245.1-RS_2024_04_01	Contig	2018-04-17	QAZY01		SAMN05583778
GCF_008868625.1	ASM886862v1	Lactobacillus acidophilus		BIO6307					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-10-07	WBOD01		SAMN12856535
GCF_017695935.1	ASM1769593v1	Lactobacillus acidophilus		APC2845					GCF_017695935.1-RS_2024_04_28	Contig	2021-04-02	WNGZ01		SAMN13342918
GCF_003061945.1	ASM306194v1	Lactobacillus acidophilus		DS8_1A					GCF_003061945.1-RS_2024_04_01	Contig	2018-04-14	QAHO01		SAMN05583791
GCF_023093425.1	ASM2309342v1	Lactobacillus acidophilus		PB2021-BA04					GCF_023093425.1-RS_2024_05_11	Contig	2022-04-22	JAGEVJ01		SAMN18297454
GCF_025194665.1	ASM2519466v1	Lactobacillus acidophilus		CIRM-BIA 437					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUF01		SAMN10365306
GCF_025194685.1	ASM2519468v1	Lactobacillus acidophilus		CIRM-BIA 1674					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUE01		SAMN10365307
GCF_025194725.1	ASM2519472v1	Lactobacillus acidophilus		CIRM-BIA 904					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUH01		SAMN10365304
GCF_025194705.1	ASM2519470v1	Lactobacillus acidophilus		CIRM-BIA 903					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUI01		SAMN10365303
GCF_025194825.1	ASM2519482v1	Lactobacillus acidophilus		CIRM-BIA 442					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUN01		SAMN10365298
GCF_025194875.1	ASM2519487v1	Lactobacillus acidophilus		CIRM-BIA 446					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUR01		SAMN10365294
GCF_025194905.1	ASM2519490v1	Lactobacillus acidophilus		CIRM-BIA 448					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUP01		SAMN10365296
GCF_021229035.1	ASM2122903v1	Lactobacillus acidophilus		NBIMCC 8242 (180)					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-12-19	JAJQWO01	20.0	SAMN23827470
GCF_025194925.1	ASM2519492v1	Lactobacillus acidophilus		CIRM-BIA 445					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUS01		SAMN10365293
GCF_027659185.1	ASM2765918v1	Lactobacillus acidophilus		AM104-58					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDPX01	24.0	SAMN31808694
GCF_027659195.1	ASM2765919v1	Lactobacillus acidophilus		AM104-61					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDQA01	25.0	SAMN31808697
GCF_027687975.1	ASM2768797v1	Lactobacillus acidophilus		AF05-37B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQCPT01	25.0	SAMN31807725
GCF_027660125.1	ASM2766012v1	Lactobacillus acidophilus		AM102-112					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDOD01	29.0	SAMN31808648
GCF_027690645.1	ASM2769064v1	Lactobacillus acidophilus		TF07-26					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQFCF01	29.0	SAMN31809819
GCF_001950045.1	ASM195004v1	Lactobacillus acidophilus		L-55					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-10-08	BDHM01	25.0	SAMD00064210
GCF_902386525.1	UHGG_MGYG-HGUT-02379	Lactobacillus acidophilus					MGYG-HGUT-02379		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-08-15	CABMJE01	25.0	SAMEA5851883
GCF_017009585.1	ASM1700958v1	Lactobacillus acidophilus		BCRC 17486					GCF_017009585.1-RS_2024_04_03	Contig	2021-02-26	JAAPAR01		SAMN14371319
GCF_025194745.1	ASM2519474v1	Lactobacillus acidophilus		CIRM-BIA 902					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUJ01		SAMN10365302
GCF_027662945.1	ASM2766294v1	Lactobacillus acidophilus		AM04S-70					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDIS01	34.0	SAMN31808506
GCF_027659735.1	ASM2765973v1	Lactobacillus acidophilus		AM102-83					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDOX01	29.0	SAMN31808668
GCF_027660185.1	ASM2766018v1	Lactobacillus acidophilus		AM102-109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDOA01	34.0	SAMN31808645
GCF_027660295.1	ASM2766029v1	Lactobacillus acidophilus		AM102-77					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDOV01	27.0	SAMN31808666
GCF_025194765.1	ASM2519476v1	Lactobacillus acidophilus		CIRM-BIA 441					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUK01		SAMN10365301
GCF_025194775.1	ASM2519477v1	Lactobacillus acidophilus		CIRM-BIA 2087					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUL01		SAMN10365300
GCF_025194645.1	ASM2519464v1	Lactobacillus acidophilus		CIRM-BIA 444					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUG01		SAMN10365305
GCF_025194845.1	ASM2519484v1	Lactobacillus acidophilus		CIRM-BIA 447					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUQ01		SAMN10365295
GCF_018252545.1	ASM1825254v1	Lactobacillus acidophilus		LA-G80					GCF_018252545.1-RS_2024_05_18	Contig	2021-05-03	JAGUCI01		SAMN18679498
GCF_027689875.1	ASM2768987v1	Lactobacillus acidophilus		TM02-12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQFDT01	34.0	SAMN31809859
GCF_027680805.1	ASM2768080v1	Lactobacillus acidophilus		AF75-02b14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQDDM01	33.0	SAMN31808083
GCF_027692675.1	ASM2769267v1	Lactobacillus acidophilus		OF38-15pH5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQEYL01	24.0	SAMN31809721
GCF_027660145.1	ASM2766014v1	Lactobacillus acidophilus		AM102-110					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDOB01	30.0	SAMN31808646
GCF_001639165.1	ASM163916v1	Lactobacillus acidophilus		WG-LB-IV					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-04-29	LWSH01		SAMN04628015
GCF_003062005.1	ASM306200v1	Lactobacillus acidophilus		DS2_1A					GCF_003062005.1-RS_2024_04_02	Contig	2018-04-14	QAHQ01		SAMN05583785
GCF_027690935.1	ASM2769093v1	Lactobacillus acidophilus		TF04-11-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQFBR01	46.0	SAMN31809805
GCF_027684755.1	ASM2768475v1	Lactobacillus acidophilus		AF16-5LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQCVQ01	42.0	SAMN31807878
GCF_025194865.1	ASM2519486v1	Lactobacillus acidophilus		CIRM-BIA 439					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RIUO01		SAMN10365297
GCF_027215475.1	ASM2721547v1	Bifidobacterium breve		SDS-1921-OWr1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEJ01		SAMN32244247
GCF_027215465.1	ASM2721546v1	Bifidobacterium breve		SDS-1920-OWr1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEI01		SAMN32244266
GCF_027212815.1	ASM2721281v1	Bifidobacterium breve		SDS-964-W-Irr					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWFB01		SAMN32244259
GCF_027212565.1	ASM2721256v1	Bifidobacterium breve		SDS-962-Irr					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWFA01		SAMN32244238
GCF_027214675.1	ASM2721467v1	Bifidobacterium breve		SDS-834-OWp					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEY01		SAMN32244262
GCF_027214825.1	ASM2721482v1	Bifidobacterium breve		SDS-835-OWp					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEZ01		SAMN32244234
GCF_016648955.1	ASM1664895v1	Bifidobacterium breve		PRL2020					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-01-15	JACZEM01		SAMN16287677
GCF_900157125.1	Bifido_07_v1	Bifidobacterium breve					Bifido_07		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-02-08	FTRK01		SAMEA51820168
GCF_030441965.1	ASM3044196v1	Bifidobacterium breve		DSM 32583					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-07-12	JARUHL01		SAMN34073939
GCF_033804525.1	ASM3380452v1	Bifidobacterium breve		FAHWH21M7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-11-19	JAWWYA01	20.0	SAMN13258908
GCF_027214765.1	ASM2721476v1	Bifidobacterium breve		SDS-512-W					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEQ01		SAMN32244243
GCF_027214925.1	ASM2721492v1	Bifidobacterium breve		SDS-1919-OWr1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEH01		SAMN32244250
GCF_925281835.1	IM1336	Bifidobacterium breve					IM1336		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-06-14	CAKMAR01		SAMEA11998810
GCF_027215005.1	ASM2721500v1	Bifidobacterium breve		SDS-832-OWp					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEX01		SAMN32244252
GCF_030876985.1	ASM3087698v1	Bifidobacterium breve		B6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-08-25	JARVGE01		SAMN34082179
GCF_016648985.1	ASM1664898v1	Bifidobacterium breve		M1D					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-01-15	JACZEL01		SAMN16287678
GCF_902505445.1	LH24	Bifidobacterium breve					LH_24		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-04-22	CABWKB01	21.0	SAMEA4838173
GCF_902505485.1	LH21	Bifidobacterium breve					LH_21		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-04-22	CABWJU01	21.0	SAMEA4838172
GCF_027215095.1	ASM2721509v1	Bifidobacterium breve		SDS-744-OW					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWET01		SAMN32244245
GCF_027212595.1	ASM2721259v1	Bifidobacterium breve		SDS-744-W					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEU01		SAMN32244246
GCF_027215525.1	ASM2721552v1	Bifidobacterium breve		SDS-1701-OWr1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEE01		SAMN32244244
GCF_900157105.1	Bifido_10_v1	Bifidobacterium breve					Bifido_10		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-02-08	FTRL01		SAMEA51822418
GCF_028203305.1	ASM2820330v1	Bifidobacterium breve		J1100826st1_F9_J1100826_190719					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-01-29	JAQKHF01		SAMN31321430
GCF_925318455.1	IM1386	Bifidobacterium breve					IM1386		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-06-14	CAKMCX01		SAMEA11998811
GCF_027215265.1	ASM2721526v1	Bifidobacterium breve		SDS-1702-OWr1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEF01		SAMN32244257
GCF_027215305.1	ASM2721530v1	Bifidobacterium breve		SDS-1703-OWr1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEG01		SAMN32244240
GCF_027215185.1	ASM2721518v1	Bifidobacterium breve		SDS-1439-RL					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEB01		SAMN32244255
GCF_028203455.1	ASM2820345v1	Bifidobacterium breve		1001254st1_D4_1001254J_160919					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKHP01	13.0	SAMN31321418
GCF_029723715.1	ASM2972371v1	Bifidobacterium breve		LH_989					GCF_029723715.1-RS_2024_04_14	Contig	2023-04-13	JAKEZG01		SAMN24838599
GCF_036281515.1	ASM3628151v1	Bifidobacterium breve		M16-V					GCF_036281515.1-RS_2024_03_16	Contig	2024-01-29	QQNM01		SAMN09708580
GCF_027663845.1	ASM2766384v1	Bifidobacterium breve		AFF13-13A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDHC01	10.0	SAMN31808464
GCF_028203465.1	ASM2820346v1	Bifidobacterium breve		1001254st1_B10_1001254J_160919					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKHQ01	12.0	SAMN31321417
GCF_015547895.1	ASM1554789v1	Bifidobacterium breve		BSD2780061688_150302_F6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-11-17	JADMWA01	5.0	SAMN15532701
GCF_003095095.1	ASM309509v1	Bifidobacterium breve		DS15_17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-05-06	QDIS01		SAMN06464121
GCF_008868405.1	ASM886840v1	Bifidobacterium breve		BIO6018					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-10-07	WBNS01		SAMN12856546
GCF_035544755.1	ASM3554475v1	Bifidobacterium breve		FFHNXY43M2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-01-11	JAYKXM01		SAMN13258929
GCF_037967025.1	ASM3796702v1	Bifidobacterium breve		3s5					GCF_037967025.1-RS_2024_04_08	Contig	2024-04-04	JAXCVZ01		SAMN38143273
GCF_027212715.1	ASM2721271v1	Bifidobacterium breve		SDS-967-OWr					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWFD01		SAMN32244254
GCF_027215105.1	ASM2721510v1	Bifidobacterium breve		SDS-965-OWr					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWFC01		SAMN32244241
GCF_027212825.1	ASM2721282v1	Bifidobacterium breve		SDS-968-OWr					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWFE01		SAMN32244256
GCF_030216845.1	ASM3021684v1	Bifidobacterium breve		UMB6370					GCF_030216845.1-RS_2024_03_14	Contig	2023-06-07	JASOMR01		SAMN34996547
GCF_030216725.1	ASM3021672v1	Bifidobacterium breve		UMB6681					GCF_030216725.1-RS_2024_03_14	Contig	2023-06-07	JASOMM01		SAMN34996552
GCF_028203435.1	ASM2820343v1	Bifidobacterium breve		J1100826st1_F12_J1100826_190719					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKHG01	15.0	SAMN31321429
GCF_001685725.1	ASM168572v1	Bifidobacterium breve		BR-07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-06-09	BCXM01		SAMD00047597
GCF_001685805.1	ASM168580v1	Bifidobacterium breve		BR-19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-06-09	BCXQ01		SAMD00047601
GCF_028201795.1	ASM2820179v1	Bifidobacterium breve		J1100826st1_H11_J1100826_190719					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKHE01	15.0	SAMN31321431
GCF_027214985.1	ASM2721498v1	Bifidobacterium breve		SDS-509-OW					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEN01		SAMN32244249
GCF_029340075.1	RC158_19046_CD	Bifidobacterium breve		RC158_19046_CD					GCF_029340075.1-RS_2024_04_02	Contig	2023-03-22	JARJNP01		SAMN32756521
GCF_027214485.1	ASM2721448v1	Bifidobacterium breve		SDS-746-OW					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEV01		SAMN32244264
GCF_027214565.1	ASM2721456v1	Bifidobacterium breve		SDS-746-W					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEW01		SAMN32244265
GCF_027215075.1	ASM2721507v1	Bifidobacterium breve		SDS-1440-OWr					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEC01		SAMN32244236
GCF_002271275.1	Bbre7Ev1	Bifidobacterium breve		7E					GCF_002271275.1-RS_2024_04_05	Contig	2017-08-28	MNLA01		SAMN05933031
GCF_033487235.1	ASM3348723v1	Bifidobacterium breve		FJSWX38M7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-11-09	JAWPGX01	31.0	SAMN20502697
GCF_925285005.1	IM703	Bifidobacterium breve					IM703		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-06-14	CAKMBB01		SAMEA11998662
GCF_002075865.1	Bbif1900B	Bifidobacterium breve		1900B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-03-31	NAPZ01		SAMN06621718
GCF_027215315.1	ASM2721531v1	Bifidobacterium breve		SDS-1441-OWr					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWED01		SAMN32244253
GCF_027212575.1	ASM2721257v1	Bifidobacterium breve		SDS-512-OW					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEP01		SAMN32244242
GCF_027214635.1	ASM2721463v1	Bifidobacterium breve		SDS-511-OW					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWEO01		SAMN32244260
GCF_002871815.1	ASM287181v1	Bifidobacterium breve		UMB0089					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-01-10	PNHM01	35.0	SAMN07511392
GCF_002861455.1	ASM286145v1	Bifidobacterium breve		UMB0915					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-12-28	PKGQ01	16.0	SAMN08193648
GCF_001189355.1	assBREI4	Bifidobacterium breve		BBRI4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2015-07-30	LFII01		SAMN03777307
GCF_027696885.1	ASM2769688v1	Bifidobacterium breve		CM02-09TA					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQETC01	22.0	SAMN31809582
GCF_029723405.1	ASM2972340v1	Bifidobacterium breve		LH_1052					GCF_029723405.1-RS_2024_04_14	Scaffold	2023-04-13	JAKEYU01	22.0	SAMN24838611
GCF_037966795.1	ASM3796679v1	Bifidobacterium breve		LH_ZT_59					GCF_037966795.1-RS_2024_04_08	Contig	2024-04-04	JAXCVN01		SAMN38143285
GCF_002076075.1	Bbif1889B	Bifidobacterium breve		1889B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-03-31	NAQI01		SAMN06621709
GCF_015554875.1	ASM1555487v1	Bifidobacterium breve		1001270B_150601_B2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-11-17	JADNJI01	9.0	SAMN15533280
GCF_902167575.1	B.breve_2_mod_mod2	Bifidobacterium breve					B.breve_2_mod		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-07-15	CABHMQ01		SAMEA5770182
GCF_033804505.1	ASM3380450v1	Bifidobacterium breve		FHuNMY8M2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-11-19	JAWWYC01	36.0	SAMN20502688
GCF_028201995.1	ASM2820199v1	Bifidobacterium breve		1001287st1_G6_1001287H_170206					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKHM01	21.0	SAMN31321422
GCF_028203415.1	ASM2820341v1	Bifidobacterium breve		J1101312st1_H6_J1101312_190322					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKHB01	18.0	SAMN31321434
GCF_027214905.1	ASM2721490v1	Bifidobacterium breve		SDS-1057-dR					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWDW01		SAMN32244233
GCF_027214545.1	ASM2721454v1	Bifidobacterium breve		SDS-734-OW					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWER01		SAMN32244261
GCF_027214935.1	ASM2721493v1	Bifidobacterium breve		SDS-1059-dR					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWDX01		SAMN32244248
GCF_027215655.1	ASM2721565v1	Bifidobacterium breve		SDS-1060-OWr					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWDY01		SAMN32244239
GCF_015667655.1	ASM1566765v1	Bifidobacterium breve		BSD2780061687_150420_F12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-11-23	JADPEI01	30.0	SAMN15533095
GCF_030216945.1	ASM3021694v1	Bifidobacterium breve		UMB5641					GCF_030216945.1-RS_2024_03_14	Contig	2023-06-07	JASOMW01		SAMN34996542
GCF_027212705.1	ASM2721270v1	Bifidobacterium breve		SDS-736-OW					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-21	JAPWES01		SAMN32244232
GCF_002076055.1	Bbif1891B	Bifidobacterium breve		1891B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-03-31	NAQG01		SAMN06621711
GCF_002027265.1	ASM202726v1	Bifidobacterium breve		CECT7263					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-03-14	MWVR01		SAMN06473336
GCF_001685905.1	ASM168590v1	Bifidobacterium breve		BR-H29					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-06-09	BCXV01		SAMD00047606
GCF_028201775.1	ASM2820177v1	Bifidobacterium breve		J1101312st1_E4_J1101312_190322					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKHC01	19.0	SAMN31321433
GCF_028201755.1	ASM2820175v1	Bifidobacterium breve		J1100826st1_H2_J1100826_190719					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-01-29	JAQKHD01		SAMN31321432
GCF_029723755.1	ASM2972375v1	Bifidobacterium breve		LH_1004					GCF_029723755.1-RS_2024_04_14	Contig	2023-04-13	JAKEZE01		SAMN24838601
GCF_028203585.1	ASM2820358v1	Bifidobacterium breve		2217st1_B10_2217SCRN_200827					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-01-29	JAQKHL01		SAMN31321423
GCF_015670155.1	ASM1567015v1	Bifidobacterium breve		1001287H_170206_A8					GCF_015670155.1-RS_2024_05_13	Scaffold	2020-11-23	JADPBI01	21.0	SAMN15532833
GCF_015668215.1	ASM1566821v1	Bifidobacterium breve		1001285H_161024_A11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-11-23	JADPFE01	24.0	SAMN15533163
GCF_006546585.1	ASM654658v1	Bifidobacterium breve		SC95					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-07-02	VIBP01	27.0	SAMN12108292
GCF_036281495.1	ASM3628149v1	Bifidobacterium breve		CUL73					GCF_036281495.1-RS_2024_03_16	Contig	2024-01-29	QQNL01		SAMN09708624
GCF_002914865.1	ASM291486v1	Bifidobacterium breve		BB02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-02-02	NIGS01		SAMN07187787
GCF_033804565.1	ASM3380456v1	Bifidobacterium breve		FZJHZD20M12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-19	JAWWYB01		SAMN13258906
GCF_036763915.1	ASM3676391v1	Bifidobacterium breve		FZJHZ7M2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-21	JBAISK01		SAMN13258904
GCF_001685785.1	ASM168578v1	Bifidobacterium breve		BR-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-06-09	BCXP01		SAMD00047600
GCF_037966925.1	ASM3796692v1	Bifidobacterium breve		LH_ZT_08					GCF_037966925.1-RS_2024_04_08	Contig	2024-04-04	JAXCVT01		SAMN38143279
GCF_030414125.1	ASM3041412v1	Bifidobacterium breve		Bif11					GCF_030414125.1-RS_2024_03_14	Contig	2023-07-10	QELD01		SAMN08966057
GCF_014779815.1	ASM1477981v1	Bifidobacterium breve		142					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-28	VIDR01		SAMN12139126
GCF_028203385.1	ASM2820338v1	Bifidobacterium breve		BSD2780061687st1_H11_BSD2780061687_150420					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-29	JAQKHH01	28.0	SAMN31321428
GCF_001685885.1	ASM168588v1	Bifidobacterium breve		BR-C29					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-06-09	BCXU01		SAMD00047605
GCF_001685865.1	ASM168586v1	Bifidobacterium breve		BR-A29					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-06-09	BCXT01		SAMD00047604
GCF_030219005.1	ASM3021900v1	Bifidobacterium breve		UMB0002					GCF_030219005.1-RS_2024_03_14	Contig	2023-06-07	JASOQW01		SAMN34996433
GCF_001685925.1	ASM168592v1	Bifidobacterium breve		BR-I29					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-06-09	BCXW01		SAMD00047607
